KONTO_NR;KONTO_BEZ;KONTO_TYP;KONTO_GRP;KONTO_ART
"70056";"Kaufland Dienstleistung GmbH & Co. KG";"Passiva";"Kreditor";"Kreditor"
"70061";"Total Tankstelle";"Passiva";"Kreditor";"Kreditor"
"70096";"ARAL - REWE To Go Michael Heydt";"Passiva";"Kreditor";"Kreditor"
"70098";"Haufe Service Center GmbH";"Passiva";"Kreditor";"Kreditor"
"70102";"Jet Tankstelle ";"Passiva";"Kreditor";"Kreditor"
"70103";"Shell Deutschland Oil GmbH";"Passiva";"Kreditor";"Kreditor"
"70110";"OBI E-Commerce GmbH";"Passiva";"Kreditor";"Kreditor"
"70117";"Sammellieferant";"Passiva";"Kreditor";"Kreditor"
"70119";"AOK Nordost";"Passiva";"Kreditor";"Kreditor"
"70121";"Re-In Retail International GmbH";"Passiva";"Kreditor";"Kreditor"
"70131";"Sprint Tankstelle ";"Passiva";"Kreditor";"Kreditor"
"70133";"Finanzamt Schöneberg";"Passiva";"Kreditor";"Kreditor"
"70134";"Aral Tankstelle";"Passiva";"Kreditor";"Kreditor"
"70135";"ESSO Deutschland GmbH";"Passiva";"Kreditor";"Kreditor"
"70137";"Getränke Hoffmann GmbH";"Passiva";"Kreditor";"Kreditor"
"70141";"HEM Tankstelle";"Passiva";"Kreditor";"Kreditor"
"70142";"Mäc-Geiz";"Passiva";"Kreditor";"Kreditor"
"70148";"toom Baumarkt GmbH";"Passiva";"Kreditor";"Kreditor"
"70152";"Babo Sushi Kenan Dobak";"Passiva";"Kreditor";"Kreditor"
"70161";"OBI";"Passiva";"Kreditor";"Kreditor"
"70168";"Hornbach";"Passiva";"Kreditor";"Kreditor"
"70172";"Elektroshop ";"Passiva";"Kreditor";"Kreditor"
"70184";"JET - Tankslolle  Jörk Klemmo";"Passiva";"Kreditor";"Kreditor"
"70189";" YogiRestaurant Moabit Salpal Shinn";"Passiva";"Kreditor";"Kreditor"
"70197";"Star-Tankstelle";"Passiva";"Kreditor";"Kreditor"
"70198";"EDEKA Fil";"Passiva";"Kreditor";"Kreditor"
"70205";"Pizza Max";"Passiva";"Kreditor";"Kreditor"
"70207";"Obeta";"Passiva";"Kreditor";"Kreditor"
"70214";"Lieferando";"Passiva";"Kreditor";"Kreditor"
"70218";"obeta electro";"Passiva";"Kreditor";"Kreditor"
"70219";"11880";"Passiva";"Kreditor";"Kreditor"
"70221";"Lidl";"Passiva";"Kreditor";"Kreditor"
"70223";"AOK NordWest";"Passiva";"Kreditor";"Kreditor"
"70224";"Techniker Krankenkasse";"Passiva";"Kreditor";"Kreditor"
"70225";"BVG";"Passiva";"Kreditor";"Kreditor"
"70228";"Glaserei Bernd Müller GmbH";"Passiva";"Kreditor";"Kreditor"
"70229";"Memodo  GmbH";"Passiva";"Kreditor";"Kreditor"
"70230";"Die Blume";"Passiva";"Kreditor";"Kreditor"
"70233";"0815 Transporter";"Passiva";"Kreditor";"Kreditor"
"70234";"DAA";"Passiva";"Kreditor";"Kreditor"
"70237";"fielmann ";"Passiva";"Kreditor";"Kreditor"
"70242";"vattenfall";"Passiva";"Kreditor";"Kreditor"
"70261";"eplus";"Passiva";"Kreditor";"Kreditor"
"70262";"myplace SeltStorene Deln Lanerraum _ Heerstrasse";"Passiva";"Kreditor";"Kreditor"
"70264";"Hotel Ebner";"Passiva";"Kreditor";"Kreditor"
"70267";"AOK Bayern Die Gesundheitskasse";"Passiva";"Kreditor";"Kreditor"
"70268";"PFENNIGLAND";"Passiva";"Kreditor";"Kreditor"
"70269";"Baumarkt";"Passiva";"Kreditor";"Kreditor"
"70270";"Sun Tankstelle";"Passiva";"Kreditor";"Kreditor"
"70272";"Clean Car AG";"Passiva";"Kreditor";"Kreditor"
"70273";"Zalande Stores GmbH & Co. KG";"Passiva";"Kreditor";"Kreditor"
"70275";"SegenSolarGmbH";"Passiva";"Kreditor";"Kreditor"
"70276";"Agip Service-Station";"Passiva";"Kreditor";"Kreditor"
"70279";"Burger Paradise Yusuf Dino";"Passiva";"Kreditor";"Kreditor"
"70280";"Reifen-Müller Georg Müller GmbH & Co. KG";"Passiva";"Kreditor";"Kreditor"
"70281";"SunOyster Systems GmbH";"Passiva";"Kreditor";"Kreditor"
"70282";"Amazon EU S.à r.l.";"Passiva";"Kreditor";"Kreditor"
"70283";"Expert Systems AG";"Passiva";"Kreditor";"Kreditor"
"70285";"SegenSolar GmbH";"Passiva";"Kreditor";"Kreditor"
"70286";"Stadt Iömenau";"Passiva";"Kreditor";"Kreditor"
"70287";"Riverty Services GmbH";"Passiva";"Kreditor";"Kreditor"
"70288";"BG Bau ";"Passiva";"Kreditor";"Kreditor"
"70289";"SHELL STATI0N FSG GmbH P.Svar0vskY";"Passiva";"Kreditor";"Kreditor"
"70290";"Marchä Berlin Brandenburg Flughafen Mövenpick Café Terminal";"Passiva";"Kreditor";"Kreditor"
"70291";"KUNDENBELEG SUN lankstefle";"Passiva";"Kreditor";"Kreditor"
"70292";"Jet Tankstelle TS-Nr  Martin Breuer";"Passiva";"Kreditor";"Kreditor"
"70293";"Ringfoto Fehse, Jörg Fehse GmbH";"Passiva";"Kreditor";"Kreditor"
"70294";"Qonto";"Passiva";"Kreditor";"Kreditor"
"70295";"KUNOENBELLG SUN iamkstelle";"Passiva";"Kreditor";"Kreditor"
"70296";"AC Eurogida GmbH";"Passiva";"Kreditor";"Kreditor"
"70297";"bprint eutelle Christoph Plühn";"Passiva";"Kreditor";"Kreditor"
"70298";"NAKA24 GmbH";"Passiva";"Kreditor";"Kreditor"
"70299";"Powerplant Solar GmbH";"Passiva";"Kreditor";"Kreditor"
"70300";"810 C0MPANY SE";"Passiva";"Kreditor";"Kreditor"
"70301";"ELEKTRIESEKatarzyna KlincewiczWolnosci 117, 58-260 Bielawa";"Passiva";"Kreditor";"Kreditor"
"70302";"HelIweg Die Profi-Baumärkte GmbH & Co. KG";"Passiva";"Kreditor";"Kreditor"
"70303";"Berlin, Spandau Arcaden";"Passiva";"Kreditor";"Kreditor"
"70304";"Oskar Böttcher GmbH";"Passiva";"Kreditor";"Kreditor"
"70305";"Leiser Berlin";"Passiva";"Kreditor";"Kreditor"
"70306";"Globe  Fachmärkte GmbH a Co. KG 05 BFM Germendorf";"Passiva";"Kreditor";"Kreditor"
"70307";"Ansbacher Apotheke Frau Traudl Vogel";"Passiva";"Kreditor";"Kreditor"
"70308";"Sushi City Nollendorfstrasse";"Passiva";"Kreditor";"Kreditor"
"70309";"Besserladen.de";"Passiva";"Kreditor";"Kreditor"
"70310";"SAT-World GmbH";"Passiva";"Kreditor";"Kreditor"
"70311";"elektroland24 GmbH & Co. KG";"Passiva";"Kreditor";"Kreditor"
"70312";"mein-elektro24.com";"Passiva";"Kreditor";"Kreditor"
"70313";"SEC SolarEnergyConsult";"Passiva";"Kreditor";"Kreditor"
"70314";"mkk - meine krankenkasse";"Passiva";"Kreditor";"Kreditor"
"70315";"IMO Autopflege WS 524 Kyriaki Eleftheriadou";"Passiva";"Kreditor";"Kreditor"
"70316";"EOV.de GmbH";"Passiva";"Kreditor";"Kreditor"
"70317";"Memodo GmbH";"Passiva";"Kreditor";"Kreditor"
