KontoNr;KontoBezeichnung;Name;Vorname;Strasse;PLZ;Ort;Land;UStID;StNr;KontoArt
"70418";"Aral Tankstelle Sven Polster-Aheimer";"Aral Tankstelle Sven Polster-Aheimer";;"Westfälische Str. 9-10";"10709";"Berlin";"DE";;;"K"
"70419";"Die Blume Soujke Belling";"Die Blume Soujke Belling";;"Reichsstr.";"14052";"Berlin";"DE";;;"K"
"70420";"Kaufland";"Kaufland";;"Schöneberger Str. 7";"12103";"Berlin";"DE";"DE272014432";;"K"
"70421";"REWE Pilaske 0HG";"REWE Pilaske 0HG";;"In der Feldmark 3a";"14476";"Potsdam";"DE";"DE291792497";;"K"
"70422";"Bauhaus mbH & Co. KG";"Bauhaus mbH & Co. KG";;"Bayreuther Straße 3-4";"10787";"Berlin";"DE";;;"K"
"70423";"Digistore GmbH";"Digistore GmbH";;"Kalenberger Graben 7";"31134";"Hildesheim";"DE";"DE283017717";;"K"
"70424";"sipgate GmbH";"sipgate GmbH";;"Düsselstr.";"40219";"Düsseldorf";"DE";"DE219349391";;"K"
"70425";"IONOS SE";"IONOS SE";;"Elgendorfer Str. 57";"56410";"Montabaur";"DE";;;"K"
"70426";"Wolt Enterprises Deutschland GmbH";"Wolt Enterprises Deutschland GmbH";;"Stralauer Allee 6, 10245 Berlin";;;"DE";;"30&598/50252";"K"
"70427";"Lidl Digital International GmbH";"Lidl Digital International GmbH";;"Stiftsbergstr. 1";"74172";"Neckarsulm";"DE";;;"K"
"70428";"Cleverbridge GmbH";"Cleverbridge GmbH";;"Gereonstr. 43-65,506";"50670";"Köln";"DE";"DE244822460";;"K"
"70429";"alupedia Borga GmbH";"alupedia Borga GmbH";;;;;;;;"K"
"70430";"ESSO Stephanie John";"ESSO Stephanie John";;"Ruhlebener Str. 185";"13597";"Berlin";"DE";;;"K"
"70431";"Aral Tankstelle Anne Notzke";"Aral Tankstelle Anne Notzke";;"Reichsstr. 13-14";"14052";"Berlin";"DE";;;"K"
"70432";"Total Energies Station Steven Hanke";"Total Energies Station Steven Hanke";;"Veltener Str. 22";"16761";"Hennigsdorf";"DE";;;"K"
"70433";"BI0 C0MPANY SE";"BI0 C0MPANY SE";;"Fehrbelliner Platz";"10707";"Berlin";"DE";"DE815889941";;"K"
"70434";"H0RNHACH Baumarkt AG Filiale";"H0RNHACH Baumarkt AG Filiale";;"Malchower Chaussee";"13088";"Berlin";"DE";;;"K"
"70435";"H0RNBACH Baumarkt AG Fillale";"H0RNBACH Baumarkt AG Fillale";;"Malchower Chaussee";"13088";"Berlin";"DE";;;"K"
"70436";"Globus Fachnerkte UmbH 8 Co. KG 79 BFM Lindenberg";"Globus Fachnerkte UmbH 8 Co. KG 79 BFM Lindenberg";;"Rudolf-Diesel-Str. 6";"16356";"Ahrensfelde";"DE";;;"K"
"70437";"Bauhaus 577 Birkenwerder";"Bauhaus 577 Birkenwerder";;"Hauptstr. 211";"16547";"Birkenwerder";"DE";;;"K"
"70438";"AGIP Service";"AGIP Service";;;;;;"DE129275205";;"K"
"70440";"CAPPUCCINO";"CAPPUCCINO";;"Klosterstr. 34";"13581";"Berlin";"DE";;;"K"
"70441";"SHELL STATI0N Scheffel Tankstellen GmbH";"SHELL STATI0N Scheffel Tankstellen GmbH";;"Oranienstr. 138-139";"10969";"Berlin";"DE";;;"K"
"70442";"Bauhaus mbH & Co. KG 814 BERLIN";"Bauhaus mbH & Co. KG 814 BERLIN";;"Hasenheide 108-114";"10967";"Berlin";"DE";"DE135558025";;"K"
"70443";"Jet Tanketelle  Martin Breuer";"Jet Tanketelle  Martin Breuer";;"Charlottenburger Chaussee 47";"13597";"Berlin";"DE";"DE301402039";;"K"
"70444";"SB Tankstelle Haken öztürk";"SB Tankstelle Haken öztürk";;"Alt-Kaulsdorf 45-49";"12621";"Berlin";"DE";"DE170734754";;"K"
"70446";"Taboola Germany";"Taboola Germany";;"Alt-Moabit 2";"10557";"Berlin";"DE";"DE317425161";;"K"
"70447";"Löffel Elektrotechnik GmbH";"Löffel Elektrotechnik GmbH";;"Alboinstr. 36";"12103";"Berlin";"DE";"DE136777716";;"K"
"70448";"ELEKTRO-FISCHER";"ELEKTRO-FISCHER";;"Clara-Zetkin-Str. 6";"17279";"Lychen";"DE";;;"K"
"70449";"Keep Moments - Veranstaltungstechnik Alte";"Keep Moments - Veranstaltungstechnik Alte";;"Berliner Str. 85";"15366";"Hoppegarten";"DE";"DE279613382";;"K"
"70450";"0BI GmbH & Co. Deutschland KG, Filiale Berlin - Steglitz";"0BI GmbH & Co. Deutschland KG, Filiale Berlin - Steglitz";;"Goerzallee 189";"14167";"Berlin";"DE";"DE123711890";;"K"
"70451";"0BI Heimwerkermarkt GmbH a Co.KG Filiale Rangsdorf";"0BI Heimwerkermarkt GmbH a Co.KG Filiale Rangsdorf";;"Kienitzer Str. 2";"15834";"Rangsdorf";"DE";"DE123711890";;"K"
"70452";"HEM Tankstelle Bozena Bober";"HEM Tankstelle Bozena Bober";;"Waltersdorfer Chaussee 24";"12529";"Schönefeld";"DE";;;"K"
"70453";"Sprint Tankstelle Ploehn";"Sprint Tankstelle Ploehn";;"Ruhlebener Str. 1";"13597";"Berlin";"DE";;;"K"
"70454";"UNI Elektro Fachgroßhandel GmbH & Co. KG";"UNI Elektro Fachgroßhandel GmbH & Co. KG";;"Ludwig-Erhard-Str. 21-39";"65760";"Eschborn";"DE";"DE154347873";;"K"
"70455";"ESS0 Station Monika Beddig ESS0 STATI0N";"ESS0 Station Monika Beddig ESS0 STATI0N";;"Heerstr. 285";"13595";"Berlin";"DE";;;"K"
"70456";"SHELL STATI0N P. Killmayer T. V. & B. GmbH";"SHELL STATI0N P. Killmayer T. V. & B. GmbH";;"Martin-Luther-Str. 29";"10777";"Berlin";"DE";"DE811127597";;"K"
"70457";"Valentin Software GmbH";"Valentin Software GmbH";;"Stralauer Platz 33-34";"10243";"Berlin";"DE";"DE813330426";;"K"
"70459";"Adobe Systems Software Ireland Limited";"Adobe Systems Software Ireland Limited";;;;;"DE";;;"K"
"70460";"Freepik Company SL";"Freepik Company SL";;;;;"DE";;;"K"
"70461";"Aufladen.de";"Aufladen.de";;;;;;"NL855756743B01";;"K"
"70462";"Hellweg die Profi-Baumärkte GmbH & Co. KG";"Hellweg die Profi-Baumärkte GmbH & Co. KG";;"Fritz-Zubeil-Str. 0";"14482";"Potsdam";"DE";"DE359510510";;"K"
"70463";"Digistore24 GmbH";"Digistore24 GmbH";;"Kalenberger Graben 7";"31134";"Hildesheim";"DE";"DE283017717";;"K"
"70464";"Builderall";"Builderall";;;;;;;;"K"
"70465";"Netfix Services Germany GmbH";"Netfix Services Germany GmbH";;"Friedrichstr. 88";"10117";"Berlin";"DE";"DE297753810";;"K"
"70466";"openAI";"openAI";;;;;;;;"K"
"70467";"Bauhaus 596 Berlin";"Bauhaus 596 Berlin";;"Brunsbüttler Damm 144";"13581";"Berlin";"DE";"DE136656025";;"K"
"70468";"JET-Tankstelle TS-Nr.  Dana Kolwitz";"JET-Tankstelle TS-Nr.  Dana Kolwitz";;"Brunsbütteler Damm 87-89";"13581";"Berlin";"DE";;;"K"
"70469";"Aral Center Madeleine Walther-Schulz";"Aral Center Madeleine Walther-Schulz";;"Lychener Str. 15";"17268";"Templin";"DE";"DE118616994";;"K"
"70470";"invoicefetcher UG";"invoicefetcher UG";;;;;;"DE304916038";;"K"
"70471";"PageOne Traffic Inc";"PageOne Traffic Inc";;;;;;;;"K"
"70472";"Aral Tankstelle Mirco Engelbrecht";"Aral Tankstelle Mirco Engelbrecht";;"Berliner Str. 67";"13507";"Berlin";"DE";;;"K"
"70473";"SUN Petrol Tankstelle";"SUN Petrol Tankstelle";;;;;;;;"K"
