KontoNr;KontoBezeichnung;Name;Vorname;Strasse;PLZ;Ort;Land;UStID;StNr;KontoArt
"70228";"Glaserei Bernd Müller GmbH";"Glaserei Bernd Müller GmbH";;;;;;"DE136748318";;"K"
"70229";"Memodo  GmbH";"Memodo  GmbH";;"Eichenstr. 11 a-d. 8";"85445";"Oberding";"DE";"DE318463541";;"K"
"70230";"Die Blume";"Die Blume";;"Reichsstraße 37";"14052";"Berlin";"DE";;;"K"
"70233";"0815 Transporter";"0815 Transporter";;"Seelower Straße 7 ";"15374";"Münchenberg";"DE";;;"K"
"70234";"DAA";"DAA";;;;;;;;"K"
"70237";"fielmann ";"fielmann ";;;;;;;;"K"
"70242";"vattenfall";"vattenfall";;;;;;;;"K"
"70261";"eplus";"eplus";;;;;;;;"K"
"70262";"myplace SeltStorene Deln Lanerraum _ Heerstrasse";"myplace SeltStorene Deln Lanerraum _ Heerstrasse";;"Heerstr. 221";"13595";"Berlin";"DE";"DE215275737";;"K"
"70264";"Hotel Ebner";"Hotel Ebner";;;;;;;;"K"
"70267";"AOK Bayern Die Gesundheitskasse";"AOK Bayern Die Gesundheitskasse";;"Carl-Wery-Str. 28";"81739";"München";"DE";;;"K"
"70268";"PFENNIGLAND";"PFENNIGLAND";;"Carl-Schurz-Str. 49";"13597";"Berlin";"DE";;;"K"
"70269";"Baumarkt";"Baumarkt";;"Rudolf-Diesel-Str.";"16356";"Ahrensfelde";"DE";;;"K"
"70270";"Sun Tankstelle";"Sun Tankstelle";;"Klosterstr. 20";"13581";"Berlin";"DE";;;"K"
"70272";"Clean Car AG";"Clean Car AG";;"Charlottenburger Chaussee 51";"13597";"Berlin";"DE";"DE191301237";;"K"
"70273";"Zalande Stores GmbH & Co. KG";"Zalande Stores GmbH & Co. KG";;"Tauentzienstr. 18";"10789";"Berlin";"DE";;;"K"
"70275";"SegenSolarGmbH";"SegenSolarGmbH";;;;;;;;"K"
"70276";"Agip Service-Station";"Agip Service-Station";;"Berliner Allee 14";"16833";"Fehrbellin";"DE";;;"K"
"70279";"Burger Paradise Yusuf Dino";"Burger Paradise Yusuf Dino";;"Katzbachstr. 12";"10965";"Berlin";"DE";"DE315897392";;"K"
"70280";"Reifen-Müller Georg Müller GmbH & Co. KG";"Reifen-Müller Georg Müller GmbH & Co. KG";;"Köpenicker Str. 152";"10997";"Berlin";"DE";;;"K"
"70281";"SunOyster Systems GmbH";"SunOyster Systems GmbH";;"Poststr. 46";"25469";"Halstenbek";"DE";"DE278258724";;"K"
"70282";"Amazon EU S.à r.l.";"Amazon EU S.à r.l.";;"Marcel-Breuer-Str. 12";"80807";"München";"DE";"DE814584193";;"K"
"70283";"Expert Systems AG";"Expert Systems AG";;"Quedlinburger Str. 1";"10589";"Berlin";"DE";"DE281088433";;"K"
